Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0905333829667025,0.0013857287387873,0.0489326043531981,0,0,0,3.02031254835025,0.00719766499623467,-5.47577884732339E-07,-7.36488484972432E-06,0.00561397920303444,-3.00885497227234E-07,0.0121022766598984,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0128104268709419,0.00830943309140335,0.00297622851896686,0,0,0,0.0727928435161986,2.20927876796312E-05,-1.64845302056334E-08,-1.56454773175217E-07,1.62632133784213E-05,2.96411876511052E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,,LFS,fixed,-0.021044,0.11715,-0.036503,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LFW,-0.01775,-2.77555756156289E-17,4.25007251614318E-17,0,0,0,0.767080911081153,0.00116426102407189,-8.87966691214985E-21,-5.07522269183661E-21,0.000639661580367032,9.48676900924816E-20,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.0135671691542593,-0.00900932874707075,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056307E-08,1.56454773175213E-07,1.62632133784213E-05,-2.96411876510605E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.070073,-0.14353,-0.019216,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RFW,0.01775,-1.6653E-16,0,0,0,0,0.76708,0.0011643,-4.9591E-37,0,0.00063966,-2.2172E-36,0.00063966,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,-4.7988E-10,-0.023473,-1.1682E-09,0,0,0,0.083536,7.7297E-05,-8.6048E-13,1.4059E-13,5.1382E-05,-5.0656E-12,7.7395E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,,LBS,fixed,-0.169,0.16275,-0.012562,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LBW,0,-1.2212E-15,0,0,0,0,0.2991,0.00010713,-7.7155E-22,-6.5618E-22,0.00010983,-8.6323E-20,0.00010713,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,continuous,0,-0.055738,0,3.1416,0,1.5708,LBS,0,1,0,0,0,0,0,,,,,,,,
RBS,-4.79882439341495E-10,-0.023473389822872,-1.16815018769145E-09,0,0,0,0.0835358720814331,7.72968060896301E-05,-8.60477997828768E-13,1.40586682345435E-13,5.13820931926884E-05,-5.06559895258843E-12,7.73952626484254E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,,RBS,fixed,-0.169,-0.16275,-0.012562,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RBW,0,-5.5511E-16,0,0,0,0,0.2991,0.00010713,2.9572E-22,-7.8377E-22,0.00010983,-8.634E-20,0.00010713,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,continuous,0,-0.055738,0,0,0,-1.5708,RBS,0,1,0,0,0,0,0,,,,,,,,
fcam,-0.011554,-2.6443E-06,0.0012903,0,0,0,0.043612,2.3571E-05,-1.0184E-09,2.1759E-08,4.2948E-06,-8.8502E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,0.029118,0,0.12982,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
bcam,-0.020103,-2.6435E-06,-0.0072587,0,0,0,0.043612,2.3571E-05,-1.0183E-09,2.1758E-08,4.2948E-06,-8.8548E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-1,bcam,,bcam,fixed,0.033,0,0.091232,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.013523,0.00046196,-0.028765,0,0,0,0.073085,1.9581E-05,-1.0393E-07,-4.2839E-07,2.4125E-05,9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Lidar,,Lidar,fixed,-0.17158,-0.00099405,0.2065,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,,IMU-2,imu_link,,imu_link,fixed,-0.007625,0,0.155,0,0,0,base_link,0,0,0,,,,,,,,,,,,
